"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"810.7999999970198","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","14","13398","0.0-16.0-0.0",""
"1295","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","15","14697","0.0-17.0-0.0","{""Q0"":""Peor""}"
"1246","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","16","15946","0.0-18.0-0.0","{""Q0"":""No se""}"
"1465","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","17","17415","0.0-19.0-0.0","{""Q0"":""Muy Buena""}"
"1267","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","18","18685","0.0-20.0-0.0","{""Q0"":""No""}"
"1164","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","19","19851","0.0-21.0-0.0","{""Q0"":""No se""}"
"1102","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","20","20955","0.0-22.0-0.0","{""Q0"":""Si""}"
"1188","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","21","22147","0.0-23.0-0.0","{""Q0"":""Mala""}"
"1109","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","22","23261","0.0-24.0-0.0","{""Q0"":""Si""}"
"1099","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","23","24367","0.0-25.0-0.0","{""Q0"":""No""}"
"1137","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","24","25507","0.0-26.0-0.0","{""Q0"":""Si""}"
"1198","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","25","26707","0.0-27.0-0.0","{""Q0"":""No""}"
