"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"759.7999999970198","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","14","14272","0.0-16.0-0.0",""
"1316","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","15","15591","0.0-17.0-0.0","{""Q0"":""Peor""}"
"1223","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","16","16819","0.0-18.0-0.0","{""Q0"":""No se""}"
"1253","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","17","18075","0.0-19.0-0.0","{""Q0"":""Muy Buena""}"
"1075","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","18","19153","0.0-20.0-0.0","{""Q0"":""No se""}"
"1067","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","19","20222","0.0-21.0-0.0","{""Q0"":""No se""}"
"1062","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","20","21288","0.0-22.0-0.0","{""Q0"":""Si""}"
"1171","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","21","22463","0.0-23.0-0.0","{""Q0"":""Muy Buena""}"
"1206","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","22","23671","0.0-24.0-0.0","{""Q0"":""No se""}"
"1288","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","23","24962","0.0-25.0-0.0","{""Q0"":""Si""}"
"1240","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","24","26204","0.0-26.0-0.0","{""Q0"":""No""}"
"1100","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","25","27306","0.0-27.0-0.0","{""Q0"":""No se""}"
