"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"757.2999999970198","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","14","13879","0.0-16.0-0.0",""
"1296","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","15","15181","0.0-17.0-0.0","{""Q0"":""Peor""}"
"1306","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","16","16488","0.0-18.0-0.0","{""Q0"":""No se""}"
"1328","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","17","17819","0.0-19.0-0.0","{""Q0"":""Mala""}"
"1126","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","18","18947","0.0-20.0-0.0","{""Q0"":""No""}"
"1099","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","19","20049","0.0-21.0-0.0","{""Q0"":""No se""}"
"1077","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","20","21128","0.0-22.0-0.0","{""Q0"":""Si""}"
"1230","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","21","22363","0.0-23.0-0.0","{""Q0"":""Muy Buena""}"
"1114","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","22","23478","0.0-24.0-0.0","{""Q0"":""No se""}"
"1123","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","23","24606","0.0-25.0-0.0","{""Q0"":""No se""}"
"1237","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","24","25850","0.0-26.0-0.0","{""Q0"":""No""}"
"1108","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","25","26960","0.0-27.0-0.0","{""Q0"":""Si""}"
