"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"737","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","14","14166","0.0-16.0-0.0",""
"1327","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","15","15500","0.0-17.0-0.0","{""Q0"":""Igual""}"
"1127","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","16","16629","0.0-18.0-0.0","{""Q0"":""No se""}"
"1265","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","17","17897","0.0-19.0-0.0","{""Q0"":""Mala""}"
"1087","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","18","18986","0.0-20.0-0.0","{""Q0"":""No se""}"
"1063","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","19","20052","0.0-21.0-0.0","{""Q0"":""No se""}"
"1082","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","20","21136","0.0-22.0-0.0","{""Q0"":""No se""}"
"1247","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","21","22387","0.0-23.0-0.0","{""Q0"":""Muy Mala""}"
"1182","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","22","23573","0.0-24.0-0.0","{""Q0"":""Si""}"
"1258","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","23","24835","0.0-25.0-0.0","{""Q0"":""No se""}"
"1193","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","24","26030","0.0-26.0-0.0","{""Q0"":""Si""}"
"1021","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","25","27053","0.0-27.0-0.0","{""Q0"":""No""}"
